FLDNAME	Compound.Name	SMILES	PubChemID	LipidName	Raw (beta)	Raw (95% CI)	Raw (95% CI)	Raw (pvalue)	Adjusted  (beta)	Adjusted (95% CI)	Adjusted (95% CI)	Adjusted (pvalue)
UCD.Lipid.12	CE (18:2)	NAACPBBQTFFYQB-LJAITQKLSA-N	6.9	UCD.Lipid.12	0.0731527910756215	-0.118592503844744	0.266755654506906	0.455750976920016	0.0847403696123295	-0.139951868981951	0.310868003833916	0.459921822833576
UCD.Lipid.13	CE (18:3)	FYMCIBHUFSIWCE-WVXFKAQASA-N	8.7	UCD.Lipid.13	-0.139535155147199	-0.334869147576583	0.0528184366504503	0.157345644614986	-0.136896784387004	-0.370448553606433	0.0944033069165425	0.247134185872371
UCD.Lipid.14	CE (20:3)	MLPRJPSMAFZPLA-PJSAOELNSA-N	9.1	UCD.Lipid.14	-0.206368149034764	-0.404891419884389	-0.0124537501019191	0.0388025628404314	-0.183678148149173	-0.418360449954814	0.0448138299458045	0.119180810838837
UCD.Lipid.15	CE (20:4)	IMXSFYNMSOULQS-BEDFLICRSA-N	5.4	UCD.Lipid.15	-0.0916745564735082	-0.284376686699415	0.0994248898407901	0.348056532581129	-0.1032712638258	-0.330879256812333	0.121771733761114	0.369975882468873
UCD.Lipid.16	CE (20:5)	XZFUGMCJZFRBKF-JIKDAPOUSA-N	8.6	UCD.Lipid.16	-0.402959840981508	-0.61688517614117	-0.198908432553117	0.000151858835193894	-0.399939888758852	-0.646228280110058	-0.164339769253485	0.00110803608545076
UCD.Lipid.17	CE (22:6)	VOEVEGPMRIYYKC-HNJOWPRISA-N	11.3	UCD.Lipid.17	-0.201545589746374	-0.399158960476135	-0.00836088668928275	0.0427589651072473	-0.239025664602958	-0.472198257828626	-0.0114369914421383	0.0414967852874169
UCD.Lipid.18	Ceramide (d18:1/23:0)	NAJHAHQNQCNWOP-PUYNVXOJSA-N	18.4	UCD.Lipid.18	0.116837196231277	-0.0750372317712282	0.310353123195163	0.233582784500155	0.109084413404142	-0.118097969876773	0.337683993709575	0.34700060892424
UCD.Lipid.19	Ceramide (d42:2)	VJSBNBBOSZJDKB-KPEYJIHVSA-N	27.8	UCD.Lipid.19	0.0998669453897238	-0.0912523319592359	0.292114642821857	0.306013464989095	0.130821290142194	-0.0907382758837165	0.353402068197803	0.247215632691294
UCD.Lipid.20	Cholesterol	HVYWMOMLDIMFJA-DPAQBDIFSA-N	1.9	UCD.Lipid.20	0.128133268741759	-0.064489013400865	0.323526833389921	0.194434417677082	0.0148796666026218	-0.217346781197961	0.247311575030058	0.899845638428438
UCD.Lipid.21	CSH_posESI #002	posESI #002	14.8	UCD.Lipid.21	0.0859854355320211	-0.105500422561275	0.278671840429264	0.379252181368419	0.171287108882546	-0.0599139816270006	0.405464585446148	0.148107814392003
UCD.Lipid.22	CSH_posESI #003	posESI #003	10.9	UCD.Lipid.22	-0.112153630210059	-0.316732326410594	0.0896534839423488	0.277608260273282	-0.188748450437889	-0.455679568622787	0.0724161046601006	0.159848643997001
UCD.Lipid.23	CSH_posESI #004	posESI #004	18.6	UCD.Lipid.23	-0.136524520354017	-0.332925266510625	0.0567908919701277	0.168664396375525	-0.00909987840425593	-0.240839414895661	0.219396098144452	0.938051555483203
UCD.Lipid.24	CSH_posESI #006	posESI #006	20.4	UCD.Lipid.24	0.0259360768100352	-0.169206264200369	0.220626182906472	0.79365833031097	-0.0564406275118968	-0.286401897536661	0.172622386357803	0.62884422827703
UCD.Lipid.25	CSH_posESI #015	posESI #015	7.4	UCD.Lipid.25	0.0194208384639534	-0.175547094412265	0.213584267242518	0.844502595083024	0.0408349493413028	-0.183645925347142	0.265003263222704	0.720567579150345
UCD.Lipid.26	CSH_posESI #017	posESI #017	12.4	UCD.Lipid.26	0.0836330500381359	-0.111763120940943	0.27994966690753	0.401356655516863	0.146063829703378	-0.0887908056608537	0.383139132714392	0.223999306564885
UCD.Lipid.27	CSH_posESI #022	posESI #022	13.5	UCD.Lipid.27	0.12451918262316	-0.0702738794005843	0.321630690482598	0.211713112757315	0.161685788304293	-0.0655521014312105	0.391776295551216	0.16458006391793
UCD.Lipid.28	CSH_posESI #025	posESI #025	14.8	UCD.Lipid.28	-0.339542371421661	-0.552193716538575	-0.136383591897994	0.00132705200549833	-0.368724584358325	-0.616357955111913	-0.132022108993362	0.00276245064292613
UCD.Lipid.29	CSH_posESI #027	posESI #027	3.8	UCD.Lipid.29	-0.0681577859527248	-0.273586610451223	0.133347624057819	0.509736799059803	-0.0255251026634374	-0.258449970868636	0.204748345241211	0.828288662522042
UCD.Lipid.30	CSH_posESI #033	posESI #033	13.3	UCD.Lipid.30	0.0110189285716932	-0.184404465109808	0.205948296901575	0.911679797080843	0.0532861413406812	-0.179055561504297	0.285086433463681	0.651871441753315
UCD.Lipid.31	CSH_posESI #034	posESI #034	13.3	UCD.Lipid.31	-0.34992480992203	-0.554888204855069	-0.151725675567142	0.000651683897447852	-0.358388935908552	-0.598296781330415	-0.126363283931163	0.00284409102747945
UCD.Lipid.32	CSH_posESI #036	posESI #036	12.9	UCD.Lipid.32	0.0226420353435957	-0.170706402897782	0.216028316646689	0.818068207068597	0.0270815523736915	-0.210645745525492	0.265081581143479	0.823026256196369
UCD.Lipid.33	CSH_posESI #037	posESI #037	17.6	UCD.Lipid.33	-0.0133733166567536	-0.206017701365092	0.178488150386879	0.891307651428529	-0.0117468444277891	-0.239546894413849	0.215131697512304	0.919136790807821
UCD.Lipid.34	CSH_posESI #040	posESI #040	13.4	UCD.Lipid.34	0.13282884505205	-0.0591448567980315	0.327042022225347	0.176537578385158	0.167384144769591	-0.0560943684309949	0.392406959988903	0.142434924588147
UCD.Lipid.35	CSH_posESI #041	posESI #041	4.5	UCD.Lipid.35	-0.14371036345557	-0.347753773228394	0.0554841273238673	0.161009592645269	-0.206441803533977	-0.441271473813684	0.0210596963934692	0.0790329404770623
UCD.Lipid.36	CSH_posESI #042	posESI #042	13.4	UCD.Lipid.36	-0.0123192541292306	-0.204135727973112	0.179166698631523	0.899505276593621	-0.0513705559571229	-0.280103191662366	0.176448512302147	0.65840721550026
UCD.Lipid.37	CSH_posESI #043	posESI #043	13.6	UCD.Lipid.37	-0.0745827042917514	-0.274672605911051	0.123514007839156	0.461515935388148	-0.0385054923992054	-0.266245246353612	0.188551817733248	0.739252754149477
UCD.Lipid.38	CSH_posESI #056	posESI #056	10.7	UCD.Lipid.38	-0.0377669510555385	-0.230914601947988	0.154148420956304	0.699969460681916	-0.0182926475442028	-0.242033322133899	0.204218022493484	0.872005787333139
UCD.Lipid.39	CSH_posESI #057	posESI #057	15.5	UCD.Lipid.39	0.0554576430020227	-0.146909180399729	0.258185886758292	0.589855329101154	0.116748675214358	-0.115394065531018	0.348595807228689	0.322105307836366
UCD.Lipid.40	CSH_posESI #058	posESI #058	8.5	UCD.Lipid.40	-0.00841128001985968	-0.201340802092934	0.183599811759951	0.93157195373945	-0.0747597240282151	-0.298996430051655	0.147332247431359	0.510400407280202
UCD.Lipid.41	CSH_posESI #061	posESI #061	13.4	UCD.Lipid.41	-0.340760574251431	-0.549924516726626	-0.139751479033698	0.00109698828083739	-0.310260351185772	-0.556581893991976	-0.0718404535438958	0.0118808860669547
UCD.Lipid.42	CSH_posESI #079	posESI #079	13.8	UCD.Lipid.42	-0.0875842974957462	-0.290003961439129	0.111402337295854	0.390690685747713	-0.084882345115795	-0.318778314804265	0.14583612191598	0.472402721897311
UCD.Lipid.43	CSH_posESI #081	posESI #081	8	UCD.Lipid.43	-0.222155551663661	-0.422949940865745	-0.0268022599034138	0.0275451209930993	-0.204136522619524	-0.43731383101847	0.0222738770769639	0.0808775733297728
UCD.Lipid.44	CSH_posESI #091	posESI #091	11.7	UCD.Lipid.44	-0.0968993832259938	-0.293318616144479	0.0964055918237032	0.328393745770579	-0.0185625608463794	-0.247397325994858	0.207980233948515	0.87269825714221
UCD.Lipid.45	CSH_posESI #098	posESI #098	5.6	UCD.Lipid.45	0.0547953066453963	-0.138362228044935	0.248388367621894	0.577723442744401	0.155196719313508	-0.0695483214879147	0.3820419012752	0.176843017133872
UCD.Lipid.46	CSH_posESI #103	posESI #103	13	UCD.Lipid.46	-0.351101272121006	-0.565369663661813	-0.146605981914707	0.000979745266315652	-0.316945015903268	-0.565150926600928	-0.0785178064496481	0.0104527361178092
UCD.Lipid.47	CSH_posESI #104	posESI #104	14.6	UCD.Lipid.47	0.116823183081135	-0.0834416514430239	0.319635427195507	0.253965845444614	0.173584756269494	-0.0562502163821909	0.406539896060068	0.139997406681922
UCD.Lipid.48	CSH_posESI #106	posESI #106	16.1	UCD.Lipid.48	-0.378138290325856	-0.585807543138663	-0.178084126433343	0.000269521361702983	-0.37764470636921	-0.617449613338663	-0.146255716306501	0.00163584543393527
UCD.Lipid.49	CSH_posESI #109	posESI #109	6.9	UCD.Lipid.49	-0.000859490846194385	-0.193884230379241	0.191405846481424	0.993004567345256	-0.00178441930508038	-0.222697902773257	0.2188057161097	0.98732242952195
UCD.Lipid.50	CSH_posESI #116	posESI #116	16.6	UCD.Lipid.50	-0.0644754220395392	-0.259416911392009	0.128555364079036	0.513726635018803	-0.072359125571799	-0.293961629394251	0.147237863109909	0.519119804011912
UCD.Lipid.51	CSH_posESI #117	posESI #117	7.5	UCD.Lipid.51	0.213441825644064	0.0194025858199273	0.41236385734101	0.0327878180302766	0.213294623332633	-0.0185590473260923	0.451079655316927	0.0742585449311694
UCD.Lipid.52	CSH_posESI #121	posESI #121	12.4	UCD.Lipid.52	-0.100687572882012	-0.303998502291122	0.098823313488029	0.325511290569115	-0.120480899251894	-0.361140462540563	0.115638180377879	0.320380499329143
UCD.Lipid.53	CSH_posESI #122	posESI #122	25.1	UCD.Lipid.53	0.0238611764492484	-0.167500284739049	0.215663879005413	0.806703386176967	0.138473887541259	-0.0912658996122606	0.37078998401881	0.238843556299042
UCD.Lipid.54	CSH_posESI #124	posESI #124	18.2	UCD.Lipid.54	-0.0175295125963121	-0.210791432877305	0.175358642999389	0.858414710824179	-0.00427034752742171	-0.224497104546774	0.215415332395964	0.969566787219421
UCD.Lipid.55	CSH_posESI #125	posESI #125	7.4	UCD.Lipid.55	0.198150059959146	0.00564995266390854	0.394471832375328	0.0452622791569601	0.20471822704163	-0.0191462715340975	0.433044409132866	0.0752498468148657
UCD.Lipid.56	CSH_posESI #127	posESI #127	9.9	UCD.Lipid.56	0.0260324664391733	-0.166435107732372	0.218478052541939	0.790441689498925	0.0178283382451087	-0.209019703835726	0.244098480256588	0.877143470750227
UCD.Lipid.57	CSH_posESI #130	posESI #130	16.7	UCD.Lipid.57	-0.142273677041465	-0.337807853045879	0.0500328387086872	0.149511415932803	-0.105881244642692	-0.339362210883474	0.125688619037367	0.371005729661511
UCD.Lipid.58	CSH_posESI #134	posESI #134	6.5	UCD.Lipid.58	0.237460628221506	0.043209482021286	0.436459841921351	0.0176871517569313	0.246918674201305	0.0184006547304553	0.481860823302744	0.0362987601808557
UCD.Lipid.59	CSH_posESI #137	posESI #137	15.4	UCD.Lipid.59	0.164964994459048	-0.0297030639414843	0.362256793417247	0.0980258435858666	0.130596909324182	-0.0944414523327907	0.359293375218112	0.2578287932375
UCD.Lipid.60	CSH_posESI #141	posESI #141	8.6	UCD.Lipid.60	-0.119272589196766	-0.315237315699758	0.0736697848602295	0.228113045153959	-0.100849524464259	-0.335140040761774	0.13056940643634	0.394820285457575
UCD.Lipid.61	CSH_posESI #142	posESI #142	4.4	UCD.Lipid.61	0.145292159058302	-0.0526193697071331	0.345572989441123	0.151735620731534	0.160209621654063	-0.0661643263561116	0.389695746857203	0.167212679901384
UCD.Lipid.62	CSH_posESI #155	posESI #155	15.8	UCD.Lipid.62	0.0940152522190205	-0.0975587114518731	0.286992556752364	0.336719357649006	0.155628294283255	-0.0747961022005133	0.388615281966516	0.186734550270064
UCD.Lipid.63	CSH_posESI #156	posESI #156	4.3	UCD.Lipid.63	-0.0338528426843359	-0.22538992157713	0.157115485999291	0.728316478884496	-0.0211760401244389	-0.239010088736106	0.196317974476283	0.848502658383369
UCD.Lipid.64	CSH_posESI #159	posESI #159	18.9	UCD.Lipid.64	0.0479094111062217	-0.143389785572505	0.239816044305692	0.623261177998371	0.00738733150986799	-0.220740631663757	0.235168760870974	0.949222657635178
UCD.Lipid.65	CSH_posESI #164	posESI #164	5.7	UCD.Lipid.65	0.0617661327606153	-0.130613330927783	0.254637327671234	0.528683269959861	0.133676732419658	-0.0887768306104379	0.358530918991772	0.240099369534907
UCD.Lipid.66	CSH_posESI #165	posESI #165	18.6	UCD.Lipid.66	-0.0740611776959786	-0.268632655797741	0.118265741904136	0.45187792777439	0.00159353838905429	-0.223061907341791	0.225134312499028	0.988849395226205
UCD.Lipid.67	CSH_posESI #168	posESI #168	21.3	UCD.Lipid.67	-0.0735306514908087	-0.26729578017326	0.118769448921066	0.454162566309116	-0.0258473713209081	-0.2530430362591	0.201232588293155	0.823007088311169
UCD.Lipid.68	CSH_posESI #170	posESI #170	4.2	UCD.Lipid.68	0.188356988957852	-0.00354152723994575	0.383559023362952	0.05588473057624	0.230191737338763	0.00242157990949206	0.462313572360581	0.0491606046861826
UCD.Lipid.69	CSH_posESI #176	posESI #176	13.6	UCD.Lipid.69	0.0206794893979976	-0.175427134890342	0.216433297775166	0.835592218342467	0.0770826582497734	-0.150438246227056	0.305658773197812	0.506422114377006
UCD.Lipid.70	CSH_posESI #187	posESI #187	14	UCD.Lipid.70	0.124868706391314	-0.0666454552129432	0.31824642750651	0.202461476267685	0.0772111726122987	-0.143942785657419	0.300379834671317	0.49465113426728
UCD.Lipid.71	CSH_posESI #192	posESI #192	8.7	UCD.Lipid.71	-0.302039056492477	-0.507068023507448	-0.103454678146783	0.00328086605405461	-0.382073261714221	-0.622548049642725	-0.150624344862148	0.00146360740472127
UCD.Lipid.72	CSH_posESI #196	posESI #196	7.1	UCD.Lipid.72	0.132922083074824	-0.0588368028407729	0.327414980404802	0.176385386343811	0.151021925667268	-0.0737290108205207	0.378933084346197	0.189872194902642
UCD.Lipid.73	CSH_posESI #197	posESI #197	11.9	UCD.Lipid.73	0.0941769005757361	-0.0986403457482917	0.288093866369598	0.338641052353361	0.145567383109482	-0.0836081028656351	0.375595892918333	0.212772405349184
UCD.Lipid.74	CSH_posESI #201	posESI #201	5.3	UCD.Lipid.74	0.0234721767208987	-0.168570441087848	0.216491409746482	0.810707773033318	0.0197732198758183	-0.207954054580059	0.247818138952742	0.864597489819372
UCD.Lipid.75	CSH_posESI #203	posESI #203	10.8	UCD.Lipid.75	0.036360964339206	-0.155134816988005	0.228592461767903	0.709624911269348	0.0455424965267365	-0.174947958146995	0.265984694325213	0.684834638616663
UCD.Lipid.76	CSH_posESI #205	posESI #205	16	UCD.Lipid.76	-0.189888918114905	-0.38902041349034	0.00536058346010446	0.0585159926607741	-0.225966966162114	-0.453051647508033	-0.003183864741724	0.0483290833943785
UCD.Lipid.77	CSH_posESI #211	posESI #211	5.5	UCD.Lipid.77	0.267514911988105	0.0731003623434526	0.466914651929862	0.00761572945512836	0.240247531898809	0.0169804907444305	0.467653405204216	0.0361987785027765
UCD.Lipid.78	CSH_posESI #214	posESI #214	10	UCD.Lipid.78	-0.0615659315056129	-0.256013146462743	0.130725858984158	0.531499676602857	-0.0502079867633078	-0.273419236636707	0.171280026707094	0.657105653636595
UCD.Lipid.79	CSH_posESI #215	posESI #215	43.2	UCD.Lipid.79	-0.117999167065199	-0.320121247877122	0.0793608969778319	0.245371272220025	-0.0551337933893286	-0.287527316456211	0.174181150326008	0.638712042028325
UCD.Lipid.80	CSH_posESI #230	posESI #230	8.1	UCD.Lipid.80	-0.0370665662079496	-0.22958519855571	0.15476068864768	0.704762644813731	0.0684510613862463	-0.152289966348464	0.289416913967149	0.542491374192824
UCD.Lipid.81	CSH_posESI #231	posESI #231	11.4	UCD.Lipid.81	0.0401144717625281	-0.151684028037776	0.232793134679858	0.681857487270737	0.147196771503195	-0.0705090786580562	0.367064112132828	0.186192484718696
UCD.Lipid.82	CSH_posESI #232	posESI #232	15.3	UCD.Lipid.82	0.0272465509398621	-0.165804653925869	0.219831922587167	0.781165605669988	0.0810596713396402	-0.144982713745977	0.307610703467201	0.48124131961509
UCD.Lipid.83	CSH_posESI #270	posESI #270	13.7	UCD.Lipid.83	0.00757361528761939	-0.198377674316524	0.211745461906321	0.941965891088192	0.0676202245803613	-0.164367660023357	0.296171159325502	0.563050093438251
UCD.Lipid.84	CSH_posESI #275	posESI #275	18	UCD.Lipid.84	-0.0579521459833521	-0.26447783975069	0.14415784901386	0.576315455143889	-0.0151406924915908	-0.247296498048655	0.210793843849075	0.896441121041886
UCD.Lipid.85	CSH_posESI #282	posESI #282	16.3	UCD.Lipid.85	-0.0145760610467357	-0.207566904450528	0.177525289748064	0.881777615904264	0.0197652568579568	-0.206634109941153	0.245428437208771	0.863594970821161
UCD.Lipid.86	CSH_posESI #285	posESI #285	12.7	UCD.Lipid.86	0.0321367628648614	-0.165245671262634	0.229968932923911	0.749204219525403	0.105988815360153	-0.121654834646098	0.333597252312796	0.359937744356786
UCD.Lipid.87	CSH_posESI #286	posESI #286	25.6	UCD.Lipid.87	-0.019232497771254	-0.210925674392897	0.171890131505738	0.843520084890192	0.0529507077677256	-0.169940605115369	0.277345502925541	0.64164462885803
UCD.Lipid.88	CSH_posESI #288	posESI #288	6	UCD.Lipid.88	0.0857519802359358	-0.135659784301977	0.311127711191489	0.447125630249197	-0.00241759423142605	-0.266917075146719	0.256618352580868	0.985450897919954
UCD.Lipid.89	CSH_posESI #290	posESI #290	16.4	UCD.Lipid.89	0.0588072786869857	-0.132771817467417	0.251553146153665	0.547783700789299	0.171404969050832	-0.0603902058723852	0.407592300642085	0.150127717024839
UCD.Lipid.90	CSH_posESI #293	posESI #293	12.1	UCD.Lipid.90	0.0633398368988949	-0.128108100212001	0.255491033493595	0.516405387563585	0.159211436181136	-0.0646251578081059	0.385482956900261	0.164333380716742
UCD.Lipid.91	CSH_posESI #296	posESI #296	8.7	UCD.Lipid.91	0.0955830651808795	-0.125524291060703	0.323454565104673	0.398840044123829	0.121966492079008	-0.13306189046773	0.379906265736882	0.347969012589368
UCD.Lipid.92	CSH_posESI #298	posESI #298	13.6	UCD.Lipid.92	0.0397013136300128	-0.151660311179767	0.231384977109336	0.683837993234247	0.0125125586206191	-0.209522388913262	0.235953772823692	0.912101964118517
UCD.Lipid.93	CSH_posESI #301	posESI #301	15.1	UCD.Lipid.93	-0.0183556215830022	-0.210665178730439	0.173427386048122	0.851061564392976	0.103792058225218	-0.128103613155214	0.337620359956066	0.381176907622286
UCD.Lipid.94	CSH_posESI #303	posESI #303	16.5	UCD.Lipid.94	0.00886574461972129	-0.188447975150534	0.207312797193514	0.929843191507971	0.00332088956172088	-0.217903328559733	0.22564403622184	0.976525308629607
UCD.Lipid.95	CSH_posESI #304	posESI #304	17.2	UCD.Lipid.95	-0.114788145944666	-0.321139025350951	0.086554877496932	0.267834563287006	0.0273977892140683	-0.210141760433928	0.262132646821594	0.819416991982381
UCD.Lipid.96	CSH_posESI #307	posESI #307	13.8	UCD.Lipid.96	-0.074398682139332	-0.267333709166804	0.117126030241542	0.447031487199755	-0.0740220820405413	-0.301372194708433	0.152406799312047	0.521483305812824
UCD.Lipid.97	CSH_posESI #308	posESI #308	14.7	UCD.Lipid.97	-0.0411288042692777	-0.234384174905393	0.150786182826058	0.674803659002732	0.0550943948747785	-0.179488971299375	0.290657186287446	0.645166941956418
UCD.Lipid.98	CSH_posESI #310	posESI #310	10.5	UCD.Lipid.98	0.0641400747141636	-0.126912906511959	0.25658397236573	0.511113386474843	0.0776376859318746	-0.147903528352929	0.303772268852806	0.499374469456531
UCD.Lipid.99	CSH_posESI #336	posESI #336	5.4	UCD.Lipid.99	0.011198655865099	-0.183129104252859	0.205917392078071	0.909925419963623	0.0532228801450012	-0.169770476671843	0.277889880336757	0.640247841567572
UCD.Lipid.100	CSH_posESI #359	posESI #359	4.5	UCD.Lipid.100	0.0665088151512381	-0.126048820755407	0.260370891595554	0.49884679585317	0.0895902009699514	-0.133624641110755	0.314633837980522	0.432157058989163
UCD.Lipid.101	CSH_posESI #362	posESI #362	12.2	UCD.Lipid.101	0.0634595634583104	-0.128803988150013	0.256918560215721	0.517921342671728	0.121472612747894	-0.1041847401137	0.347887807835123	0.29090611411179
UCD.Lipid.102	CSH_posESI #363	posESI #363	20.7	UCD.Lipid.102	-0.0742558103464587	-0.268327861560244	0.11788513500281	0.449944889672543	-0.0781958820810728	-0.315304624322086	0.156395921569189	0.51458524377125
UCD.Lipid.103	CSH_posESI #364	posESI #364	9.9	UCD.Lipid.103	0.080316016216893	-0.113405128333397	0.274990078911555	0.416312228973396	0.172199674298372	-0.0552386558152407	0.401713834159687	0.138496753173018
UCD.Lipid.104	DG (32:1)	XEQQGHISHUGMIP-ASUORMEESA-N	13.6	UCD.Lipid.104	0.025825368281301	-0.170745348751648	0.222040474035202	0.796043468329251	0.0338453243906395	-0.195189101907936	0.262839732401733	0.771449894699903
UCD.Lipid.105	DG (34:1)	YEJYLHKQOBOSCP-OZKTZCCCSA-N	16.8	UCD.Lipid.105	-0.00918529819547771	-0.20779987449482	0.188399268882016	0.927378271137139	0.0409188008922959	-0.190553866313699	0.272085010954122	0.728102331510622
UCD.Lipid.106	DG (34:2)	SVXWJFFKLMLOHO-YAIZGCQRSA-N	13.6	UCD.Lipid.106	0.12451918262316	-0.0702738794005843	0.321630690482598	0.211713112757315	0.161685788304293	-0.0655521014312105	0.391776295551216	0.16458006391793
UCD.Lipid.107	DG (34:3)	BHGPPCIWDXQOMA-IXDOJJAKSA-N	11.6	UCD.Lipid.107	0.156156192433071	-0.0379018125310429	0.352432090046982	0.11592072638372	0.195192438714786	-0.0340290313569385	0.427460610049496	0.0964703826457948
UCD.Lipid.108	DG (36:1)	SAEPUUXWQQNLGN-LVVMQYBKSA-N	9.2	UCD.Lipid.108	-0.0763864838735212	-0.276358645484021	0.121301876151647	0.450059961547634	-0.0118312431349964	-0.236519436053051	0.213303722551661	0.91762142420529
UCD.Lipid.109	DG (36:2)	AFSHUZFNMVJNKX-LLWMBOQKSA-N	17.7	UCD.Lipid.109	0.0196806437061517	-0.175552667616948	0.214355774313246	0.842750120455453	0.028512139187318	-0.195903856910279	0.253408435184728	0.80300918616994
UCD.Lipid.110	DG (36:3)	BLZVZPYMHLXLHG-JOBMVARSSA-N	19.5	UCD.Lipid.110	0.121396135874289	-0.0711937664436315	0.315571798690669	0.217377338448153	0.0645985549445239	-0.156832016929345	0.287100367581108	0.567352804265919
UCD.Lipid.111	DG (36:4)	MQGBAQLIFKSMEM-ZHARMHCNSA-N	11.8	UCD.Lipid.111	0.127590100733127	-0.0652556405152883	0.322140867579425	0.195495062019547	0.0684574599224217	-0.152957511355598	0.288759535201765	0.542372588197489
UCD.Lipid.112	DG (36:5)	PGXBELQFNRPKBC-WBVIKXMWSA-N	9.8	UCD.Lipid.112	-0.00668507743468752	-0.202666268759023	0.187880868625472	0.946353729746687	-0.126325041549429	-0.358161122009992	0.100940910996375	0.27955268295538
UCD.Lipid.113	DG (38:0)	IQNYOCFHHRCMKY-KDXMTYKHSA-N	15.9	UCD.Lipid.113	-0.00834699688844363	-0.201740650757251	0.184070478331844	0.932232045049966	0.00618539018364887	-0.213010480902782	0.22480763240839	0.955712670019174
UCD.Lipid.114	DG (38:3)	ADXAWIIUCSQOAS-SMJOZILHSA-N	7.8	UCD.Lipid.114	-0.138559819708777	-0.335504483152406	0.0550689688465045	0.163229209546971	-0.215209104617032	-0.442348805733374	0.00685442415943276	0.0597051437373752
UCD.Lipid.115	DG (38:5)	GRGDLDNREYVILP-CNWVQWJYSA-N	15.9	UCD.Lipid.115	-0.00379342226335177	-0.199094152352136	0.190513209435344	0.969479932330081	-0.0519935194282132	-0.281732447774731	0.175184257340211	0.654682033751886
UCD.Lipid.116	DG (38:6)	YDVDXUYJFQLPEG-CTHJWPIASA-N	4.4	UCD.Lipid.116	-0.102340770187811	-0.296739330826177	0.0901860483065979	0.298663691412696	-0.0665125646133395	-0.289400270110431	0.15563575760929	0.557040016773195
UCD.Lipid.117	Gal-Gal-Cer(d18:1/16:0) or Lactosylceramide(d18:1/16:0)	HLIJNIKSBCIDGO-QKLMXXKVSA-N or HLIJNIKSBCIDGO-NLXPYQMASA-N	10.9	UCD.Lipid.117	0.211417426331582	0.0177146353883761	0.40871202072548	0.0336096074329467	0.189799879374502	-0.0368227956075864	0.418485532644726	0.101311476692438
